plate_num,can_be_solved
023-5,False
023-5,True
023-6,False
023-7,False
023-8,False
023-8,True
023-9,False
023-9,True
024-0,False
024-1,False
024-2,False
024-3,False
024-4,False
024-5,False
024-6,False
024-7,False
024-8,False
024-9,False
025-0,False
025-1,False
025-2,False
025-3,False
025-4,False
025-5,False
025-6,False
025-7,False
025-8,False
025-9,False
026-0,False
026-1,False
026-2,False
026-3,False
026-4,False
026-5,False
026-6,False
026-7,False
026-8,False
026-9,False
027-0,False
027-1,False
027-2,False
027-3,False
027-4,False
027-5,False
027-6,False
027-7,False
027-8,False
027-9,False
028-0,False
028-1,False
028-2,False
028-3,False
028-4,False
028-5,False
028-6,False
028-7,False
028-8,False
028-9,False
029-0,False
029-1,False
029-2,False
029-3,False
029-4,False
029-5,False
029-6,False
029-7,False
029-8,False
029-9,False
030-0,False
030-1,False
030-2,False
030-3,False
030-4,False
030-5,False
030-5,True
030-6,False
030-6,True
030-7,False
030-7,True
030-8,False
030-8,True
030-9,False
031-0,False
031-1,False
031-2,False
031-3,False
031-4,False
031-5,True
031-5,False
031-6,False
031-6,True
031-7,False
031-7,True
031-8,True
031-8,False
031-9,False
032-0,False
032-1,False
032-2,False
032-3,False
032-3,True
032-4,False
032-4,True
032-5,False
032-5,True
032-6,False
032-7,False
032-8,False
032-8,True
032-9,False
032-9,True
033-0,True
033-0,False
033-1,False
033-1,True
033-2,False
033-3,False
033-4,False
033-5,False
033-6,False
033-7,False
033-8,False
033-9,False
034-0,False
034-1,False
034-2,False
034-3,False
034-4,True
034-4,False
034-5,False
034-6,False
034-7,False
034-8,False
034-9,False
035-0,False
035-1,False
035-2,False
035-3,False
035-4,False
035-5,False
035-6,False
035-7,False
035-8,False
035-9,False
036-0,False
036-1,False
036-2,False
036-3,False
036-4,False
036-5,False
036-6,False
036-7,False
036-8,False
036-9,False
037-0,False
037-1,False
037-2,False
037-3,False
037-4,False
037-5,False
037-6,False
037-7,False
037-8,False
037-9,False
038-0,False
038-1,False
038-2,False
038-3,False
038-4,False
038-5,False
038-6,False
038-7,False
038-8,False
038-9,False
039-0,False
039-1,False
039-2,False
039-3,False
039-4,False
039-5,False
039-6,False
039-7,False
039-8,False
039-9,False
040-0,False
040-1,False
040-2,False
040-3,False
040-4,False
040-5,False
040-6,False
040-7,False
040-8,False
040-9,False
041-0,False
041-1,False
041-2,False
041-3,False
041-4,False
041-5,False
041-6,False
041-7,False
041-8,False
041-9,False
042-0,False
042-1,False
042-2,False
042-3,False
042-4,False
042-5,False
042-6,False
042-7,False
042-8,False
042-9,False
043-0,False
043-1,False
043-2,False
043-3,False
043-4,False
043-4,True
043-5,False
043-6,False
043-7,False
043-8,False
043-9,False
044-0,False
044-0,True
044-1,False
044-1,True
044-2,False
044-3,False
044-4,False
044-5,False
044-6,False
044-7,False
044-8,False
044-9,False
045-0,False
045-1,False
045-2,False
045-3,False
045-4,False
045-5,True
045-5,False
045-6,False
045-7,False
045-8,False
045-9,False
046-0,False
046-1,False
046-2,False
046-3,False
046-4,False
046-5,False
046-6,False
046-7,False
046-8,False
046-9,False
047-0,False
047-1,False
047-2,False
047-3,False
047-4,False
047-5,False
047-6,False
047-7,False
047-8,False
047-9,False
048-0,False
048-1,False
048-2,False
048-3,False
048-4,False
048-5,False
048-6,False
048-7,False
048-8,False
048-9,False
049-0,False
049-1,False
049-2,False
049-3,False
049-4,False
049-5,False
049-6,False
049-7,False
049-8,False
049-9,False
050-0,False
050-1,False
050-2,False
050-3,False
050-4,False
050-5,False
050-6,False
050-7,False
050-8,False
050-9,False
051-0,False
051-1,False
051-2,False
051-3,False
051-4,False
051-5,False
051-6,False
051-7,False
051-8,False
051-9,False
052-0,False
052-1,False
052-2,False
052-3,False
052-4,False
052-5,False
052-6,False
052-7,False
052-8,False
052-9,False
053-0,False
053-1,False
053-2,False
053-3,False
053-4,False
053-5,False
053-6,False
053-7,False
053-8,False
053-9,False
054-0,False
054-1,False
054-2,False
054-3,False
054-4,False
054-5,False
054-5,True
054-6,False
054-7,False
054-8,False
054-9,False
055-0,False
055-0,True
055-1,False
055-1,True
055-2,False
055-3,False
055-4,False
055-5,False
055-6,False
055-7,False
055-8,False
055-9,False
056-0,False
056-1,False
056-2,False
056-3,False
056-4,False
056-5,False
056-6,False
056-6,True
056-7,False
056-8,False
056-9,False
057-0,False
057-1,False
057-2,False
057-3,False
057-4,False
057-5,False
057-6,False
057-7,False
057-8,False
057-9,False
058-0,False
058-1,False
058-2,False
058-3,False
058-4,False
058-5,False
058-6,False
058-7,False
058-8,False
058-9,False
059-0,False
059-1,False
059-2,False
059-3,False
059-4,False
059-5,False
059-6,False
059-7,False
059-8,False
059-9,False
060-0,False
060-1,False
060-2,False
060-3,False
060-4,False
060-5,False
060-6,False
060-7,False
060-8,False
060-9,False
061-0,False
061-1,False
061-2,False
061-3,False
061-4,False
061-5,False
061-6,False
061-7,False
061-8,False
061-9,False
062-0,False
062-1,False
062-2,False
062-3,False
062-4,False
062-5,False
062-6,False
062-7,False
062-8,False
062-9,False
063-0,False
063-1,False
063-2,False
063-3,False
063-4,False
063-5,False
063-6,False
063-7,False
063-8,False
063-9,False
064-0,False
064-1,False
064-2,False
064-3,False
064-4,False
064-5,False
064-6,False
064-7,False
064-8,False
064-9,False
065-0,False
065-1,False
065-2,False
065-3,False
065-4,False
065-5,False
065-6,False
065-6,True
065-7,False
065-8,False
065-9,False
066-0,False
066-0,True
066-1,False
066-1,True
066-2,False
066-3,False
066-4,False
066-5,False
066-6,False
066-7,False
066-8,False
066-9,False
067-0,False
067-1,False
067-2,False
067-3,False
067-4,False
067-5,False
067-6,False
067-7,False
067-7,True
067-8,False
067-9,False
068-0,False
068-1,False
068-2,False
068-3,False
068-4,False
068-5,False
068-6,False
068-7,False
068-8,False
068-9,False
069-0,False
069-1,False
069-2,False
069-3,False
069-4,False
069-5,False
069-6,False
069-7,False
069-8,False
069-9,False
070-0,False
070-1,False
070-2,False
070-3,False
070-4,False
070-5,False
070-6,False
070-7,False
070-8,False
070-9,False
071-0,False
071-1,False
071-2,False
071-3,False
071-4,False
071-5,False
071-6,False
071-7,False
071-8,False
071-9,False
072-0,False
072-1,False
072-2,False
072-3,False
072-4,False
072-5,False
072-6,False
072-7,False
072-8,False
072-9,False
073-0,False
073-1,False
073-2,False
073-3,False
073-4,False
073-5,False
073-6,False
073-7,False
073-8,False
073-9,False
074-0,False
074-1,False
074-2,False
074-3,False
074-4,False
074-5,False
074-6,False
074-7,False
074-8,False
074-9,False
075-0,False
075-1,False
075-2,False
075-3,False
075-4,False
075-5,False
075-6,False
075-7,False
075-8,False
075-9,False
076-0,False
076-1,False
076-2,False
076-3,False
076-4,False
076-5,False
076-6,False
076-7,False
076-7,True
076-8,False
076-9,False
077-0,False
077-0,True
077-1,False
077-1,True
077-2,False
077-3,False
077-4,False
077-5,False
077-6,False
077-7,False
077-8,False
077-9,False
078-0,False
078-1,False
078-2,False
078-3,False
078-4,False
078-5,False
078-6,False
078-7,False
078-8,True
078-8,False
078-9,False
079-0,False
079-1,False
079-2,False
079-3,False
079-4,False
079-5,False
079-6,False
079-7,False
079-8,False
079-9,False
080-0,False
080-1,False
080-2,False
080-3,False
080-4,False
080-5,False
080-6,False
080-7,False
080-8,False
080-9,False
081-0,False
081-1,False
081-2,False
081-3,False
081-4,False
081-5,False
081-6,False
081-7,False
081-8,False
081-9,False
082-0,False
082-1,False
082-2,False
082-3,False
082-4,False
082-5,False
082-6,False
082-7,False
082-8,False
082-9,False
083-0,False
083-1,False
083-2,False
083-3,False
083-4,False
083-5,False
083-6,False
083-7,False
083-8,False
083-9,False
084-0,False
084-1,False
084-2,False
084-3,False
084-4,False
084-5,False
084-6,False
084-7,False
084-8,False
084-9,False
085-0,False
085-1,False
085-2,False
085-3,False
085-4,False
085-5,False
085-6,False
085-7,False
085-8,False
085-9,False
086-0,False
086-1,False
086-2,False
086-3,False
086-4,False
086-5,False
086-6,False
086-7,False
086-8,False
086-9,False
087-0,False
087-1,False
087-2,False
087-3,False
087-4,False
087-5,False
087-6,False
087-7,False
087-8,False
087-8,True
087-9,False
088-0,False
088-0,True
088-1,False
088-1,True
088-2,False
088-3,False
088-4,False
088-5,False
088-6,False
088-7,False
088-8,False
088-9,False
089-0,False
089-1,False
089-2,False
089-3,False
089-4,False
089-5,False
089-6,False
089-7,False
089-8,False
089-9,False
089-9,True
090-0,False
090-1,False
090-2,False
090-3,False
090-4,False
090-5,False
090-6,False
090-7,False
090-8,False
090-9,False
091-0,False
091-1,False
091-2,False
091-3,False
091-4,False
091-5,False
091-6,False
091-7,False
091-8,False
091-9,False
092-0,False
092-1,False
092-2,False
092-3,False
092-4,False
092-5,False
092-6,False
092-7,False
092-8,False
092-9,False
093-0,False
093-1,False
093-2,False
093-3,False
093-4,False
093-5,False
093-6,False
093-7,False
093-8,False
093-9,False
094-0,False
094-1,False
094-2,False
094-3,False
094-4,False
094-5,False
094-6,False
094-7,False
094-8,False
094-9,False
095-0,False
095-1,False
095-2,False
095-3,False
095-4,False
095-5,False
095-6,False
095-7,False
095-8,False
095-9,False
096-0,False
096-1,False
096-2,False
096-3,False
096-4,False
096-5,False
096-6,False
096-7,False
096-8,False
096-9,False
097-0,False
097-1,False
097-2,False
097-3,False
097-4,False
097-5,False
097-6,False
097-7,False
097-8,False
097-9,False
098-0,False
098-1,False
098-2,False
098-3,False
098-4,False
098-5,False
098-6,False
098-7,False
098-8,False
098-9,False
098-9,True
099-0,False
099-0,True
099-1,False
099-1,True
099-2,False
099-3,False
099-4,False
099-5,False
099-6,False
099-7,False
099-8,False
099-9,False
100-0,False
100-0,True
100-1,False
100-1,True
100-2,False
100-2,True
100-3,False
100-3,True
100-4,False
100-5,False
100-6,False
100-7,False
100-8,False
100-9,False
101-0,True
101-0,False
101-1,False
101-1,True
101-2,False
101-2,True
101-3,False
101-3,True
101-4,False
101-5,False
101-6,False
101-7,False
101-8,False
101-9,False
102-0,False
102-0,True
102-1,False
102-1,True
102-2,True
102-2,False
102-3,False
102-3,True
102-4,False
102-4,True
102-5,False
102-6,False
102-7,False
102-8,False
102-9,False
103-0,False
103-0,True
103-1,False
103-2,False
103-3,False
103-4,False
103-5,False
103-6,False
103-6,True
103-7,False
103-7,True
103-8,True
103-8,False
103-9,False
104-0,False
104-0,True
104-1,False
104-2,False
104-3,False
104-4,False
104-5,False
104-6,False
104-7,False
104-8,False
104-9,False
105-0,False
105-0,True
105-1,False
105-2,False
105-3,False
105-4,False
105-5,False
105-6,False
105-7,False
105-8,False
105-9,False
106-0,False
106-0,True
106-1,False
106-2,False
106-3,False
106-4,False
106-5,False
106-6,False
106-7,False
106-8,False
106-9,False
107-0,False
107-0,True
107-1,False
107-2,False
107-3,False
107-4,False
107-5,False
107-6,False
107-7,False
107-8,False
107-9,False
108-0,False
108-0,True
108-1,False
108-2,False
108-3,False
108-4,False
108-5,False
108-6,False
108-7,False
108-8,False
108-9,False
109-0,True
109-0,False
109-1,False
109-2,False
109-3,False
109-4,False
109-5,False
109-6,False
109-7,False
109-8,False
109-9,False
110-0,False
110-0,True
110-1,False
110-1,True
110-2,True
110-2,False
110-3,False
110-3,True
110-4,False
110-5,False
110-6,False
110-7,False
110-8,False
110-9,False
111-0,False
111-0,True
111-1,True
111-1,False
111-2,False
111-2,True
111-3,False
111-3,True
111-4,False
111-5,False
111-6,False
111-7,False
111-8,False
111-9,False
112-0,False
112-0,True
112-1,False
112-1,True
112-2,False
112-2,True
112-3,True
112-3,False
112-4,True
112-4,False
112-5,False
112-6,False
112-7,False
112-8,False
112-9,False
113-0,False
113-0,True
113-1,False
113-2,False
113-3,False
113-4,False
113-5,False
113-6,False
113-6,True
113-7,False
113-7,True
113-8,False
113-8,True
113-9,False
114-0,False
114-0,True
114-1,False
114-2,False
114-3,False
114-4,False
114-5,False
114-6,False
114-7,False
114-8,False
114-9,False
115-0,True
115-0,False
115-1,False
115-2,False
115-3,False
115-4,False
115-5,False
115-6,False
115-7,False
115-8,False
115-9,False
116-0,False
116-0,True
116-1,False
116-2,False
116-3,False
116-4,False
116-5,False
116-6,False
116-7,False
116-8,False
116-9,False
117-0,False
117-0,True
117-1,False
117-2,False
117-3,False
117-4,False
117-5,False
117-6,False
117-7,False
117-8,False
117-9,False
118-0,False
118-0,True
118-1,False
118-2,False
118-3,False
118-4,False
118-5,False
118-6,False
118-7,False
118-8,False
118-9,False
119-0,False
119-0,True
119-1,False
119-2,False
119-3,False
119-4,False
119-5,False
119-6,False
119-7,False
119-8,False
119-9,False
120-0,False
120-0,True
120-1,False
120-1,True
120-2,False
120-2,True
120-3,True
120-3,False
120-4,False
120-4,True
120-5,False
120-6,False
120-7,False
120-8,False
120-9,False
121-0,False
121-0,True
121-1,False
121-1,True
121-2,False
121-2,True
121-3,True
121-3,False
121-4,False
121-4,True
121-5,False
121-6,False
121-7,False
121-8,False
121-9,False
122-0,True
122-0,False
122-1,False
122-1,True
122-2,False
122-3,False
122-4,False
122-4,True
122-5,False
122-5,True
122-6,False
122-6,True
122-7,False
122-8,False
122-9,False
123-0,False
123-1,False
123-2,False
123-3,True
123-3,False
123-4,False
123-5,True
123-5,False
123-6,False
123-7,False
123-8,False
123-8,True
123-9,False
123-9,True
124-0,False
124-1,False
124-2,False
124-3,False
124-4,False
124-5,False
124-6,False
124-7,False
124-8,False
124-9,False
125-0,False
125-1,False
125-2,False
125-3,False
125-4,False
125-5,False
125-6,False
125-7,False
125-8,False
125-9,False
126-0,False
126-1,False
126-2,False
126-3,False
126-4,False
126-5,False
126-6,False
126-7,False
126-8,False
126-9,False
127-0,False
127-1,False
127-2,False
127-3,False
127-4,False
127-5,False
127-6,False
127-7,False
127-8,False
127-9,False
128-0,False
128-1,False
128-2,False
128-3,False
128-4,False
128-5,False
128-6,False
128-7,False
128-8,False
128-9,False
129-0,False
129-1,False
129-2,False
129-3,False
129-4,False
129-5,False
129-6,False
129-7,False
129-8,False
129-9,False
130-0,False
130-1,False
130-2,False
130-3,False
130-4,False
130-5,False
130-5,True
130-6,False
130-6,True
130-7,False
130-7,True
130-8,False
130-8,True
130-9,False
131-0,False
131-1,False
131-2,False
131-3,False
131-4,False
131-5,False
131-5,True
131-6,False
131-6,True
131-7,True
131-7,False
131-8,False
131-8,True
131-9,False
132-0,False
132-1,False
132-2,False
132-3,False
132-3,True
132-4,True
132-4,False
132-5,False
132-5,True
132-6,False
132-7,False
132-8,False
132-8,True
132-9,False
132-9,True
133-0,False
133-0,True
133-1,False
133-1,True
133-2,False
133-3,False
133-4,False
133-5,False
133-6,False
133-7,False
133-8,False
133-9,False
134-0,False
134-1,False
134-2,False
134-3,False
134-4,True
134-4,False
134-5,False
134-6,False
134-7,False
134-8,False
134-9,False
135-0,False
135-1,False
135-2,False
135-3,False
135-4,False
135-5,False
135-6,False
135-7,False
135-8,False
135-9,False
136-0,False
136-1,False
136-2,False
136-3,False
136-4,False
136-5,False
136-6,False
136-7,False
136-8,False
136-9,False
137-0,False
137-1,False
137-2,False
137-3,False
137-4,False
137-5,False
137-6,False
137-7,False
137-8,False
137-9,False
138-0,False
138-1,False
138-2,False
138-3,False
138-4,False
138-5,False
138-6,False
138-7,False
138-8,False
138-9,False
139-0,False
139-1,False
139-2,False
139-3,False
139-4,False
139-5,False
139-6,False
139-7,False
139-8,False
139-9,False
140-0,False
140-1,False
140-2,False
140-3,False
140-4,False
140-5,False
140-6,False
140-7,False
140-8,False
140-9,False
141-0,False
141-1,False
141-2,False
141-3,False
141-4,False
141-5,False
141-6,False
141-7,False
141-8,False
141-9,False
142-0,False
142-1,False
142-2,False
142-3,False
142-4,False
142-5,False
142-6,False
142-7,False
142-8,False
142-9,False
143-0,False
143-1,False
143-2,False
143-3,False
143-4,True
143-4,False
143-5,False
143-6,False
143-7,False
143-8,False
143-9,False
144-0,False
144-0,True
144-1,False
144-1,True
144-2,False
144-3,False
144-4,False
144-5,False
144-6,False
144-7,False
144-8,False
144-9,False
145-0,False
145-1,False
145-2,False
145-3,False
145-4,False
145-5,True
145-5,False
145-6,False
145-7,False
145-8,False
145-9,False
146-0,False
146-1,False
146-2,False
146-3,False
146-4,False
146-5,False
146-6,False
146-7,False
146-8,False
146-9,False
147-0,False
147-1,False
147-2,False
147-3,False
147-4,False
147-5,False
147-6,False
147-7,False
147-8,False
147-9,False
148-0,False
148-1,False
148-2,False
148-3,False
148-4,False
148-5,False
148-6,False
148-7,False
148-8,False
148-9,False
149-0,False
149-1,False
149-2,False
149-3,False
149-4,False
149-5,False
149-6,False
149-7,False
149-8,False
149-9,False
150-0,False
150-1,False
150-2,False
150-3,False
150-4,False
150-5,False
150-6,False
150-7,False
150-8,False
150-9,False
151-0,False
151-1,False
151-2,False
151-3,False
151-4,False
151-5,False
151-6,False
151-7,False
151-8,False
151-9,False
152-0,False
152-1,False
152-2,False
152-3,False
152-4,False
152-5,False
152-6,False
152-7,False
152-8,False
152-9,False
153-0,False
153-1,False
153-2,False
153-3,False
153-4,False
153-5,False
153-6,False
153-7,False
153-8,False
153-9,False
154-0,False
154-1,False
154-2,False
154-3,False
154-4,False
154-5,False
154-5,True
154-6,False
154-7,False
154-8,False
154-9,False
155-0,False
155-0,True
155-1,False
155-1,True
155-2,False
155-3,False
155-4,False
155-5,False
155-6,False
155-7,False
155-8,False
155-9,False
156-0,False
156-1,False
156-2,False
156-3,False
156-4,False
156-5,False
156-6,False
156-6,True
156-7,False
156-8,False
156-9,False
157-0,False
157-1,False
157-2,False
157-3,False
157-4,False
157-5,False
157-6,False
157-7,False
157-8,False
157-9,False
158-0,False
158-1,False
158-2,False
158-3,False
158-4,False
158-5,False
158-6,False
158-7,False
158-8,False
158-9,False
159-0,False
159-1,False
159-2,False
159-3,False
159-4,False
159-5,False
159-6,False
159-7,False
159-8,False
159-9,False
160-0,False
160-1,False
160-2,False
160-3,False
160-4,False
160-5,False
160-6,False
160-7,False
160-8,False
160-9,False
161-0,False
161-1,False
161-2,False
161-3,False
161-4,False
161-5,False
161-6,False
161-7,False
161-8,False
161-9,False
162-0,False
162-1,False
162-2,False
162-3,False
162-4,False
162-5,False
162-6,False
162-7,False
162-8,False
162-9,False
163-0,False
163-1,False
163-2,False
163-3,False
163-4,False
163-5,False
163-6,False
163-7,False
163-8,False
163-9,False
164-0,False
164-1,False
164-2,False
164-3,False
164-4,False
164-5,False
164-6,False
164-7,False
164-8,False
164-9,False
165-0,False
165-1,False
165-2,False
165-3,False
165-4,False
165-5,False
165-6,False
165-6,True
165-7,False
165-8,False
165-9,False
166-0,False
166-0,True
166-1,False
166-1,True
166-2,False
166-3,False
166-4,False
166-5,False
166-6,False
166-7,False
166-8,False
166-9,False
167-0,False
167-1,False
167-2,False
167-3,False
167-4,False
167-5,False
167-6,False
167-7,False
167-7,True
167-8,False
167-9,False
168-0,False
168-1,False
168-2,False
168-3,False
168-4,False
168-5,False
168-6,False
168-7,False
168-8,False
168-9,False
169-0,False
169-1,False
169-2,False
169-3,False
169-4,False
169-5,False
169-6,False
169-7,False
169-8,False
169-9,False
170-0,False
170-1,False
170-2,False
170-3,False
170-4,False
170-5,False
170-6,False
170-7,False
170-8,False
170-9,False
171-0,False
171-1,False
171-2,False
171-3,False
171-4,False
171-5,False
171-6,False
171-7,False
171-8,False
171-9,False
172-0,False
172-1,False
172-2,False
172-3,False
172-4,False
172-5,False
172-6,False
172-7,False
172-8,False
172-9,False
173-0,False
173-1,False
173-2,False
173-3,False
173-4,False
173-5,False
173-6,False
173-7,False
173-8,False
173-9,False
174-0,False
174-1,False
174-2,False
174-3,False
174-4,False
174-5,False
174-6,False
174-7,False
174-8,False
174-9,False
175-0,False
175-1,False
175-2,False
175-3,False
175-4,False
175-5,False
175-6,False
175-7,False
175-8,False
175-9,False
176-0,False
176-1,False
176-2,False
176-3,False
176-4,False
176-5,False
176-6,False
176-7,False
176-7,True
176-8,False
176-9,False
177-0,False
177-0,True
177-1,False
177-1,True
177-2,False
177-3,False
177-4,False
177-5,False
177-6,False
177-7,False
177-8,False
177-9,False
178-0,False
178-1,False
178-2,False
178-3,False
178-4,False
178-5,False
178-6,False
178-7,False
178-8,False
178-8,True
178-9,False
179-0,False
179-1,False
179-2,False
179-3,False
179-4,False
179-5,False
179-6,False
179-7,False
179-8,False
179-9,False
180-0,False
180-1,False
180-2,False
180-3,False
180-4,False
180-5,False
180-6,False
180-7,False
180-8,False
180-9,False
181-0,False
181-1,False
181-2,False
181-3,False
181-4,False
181-5,False
181-6,False
181-7,False
181-8,False
181-9,False
182-0,False
182-1,False
182-2,False
182-3,False
182-4,False
182-5,False
182-6,False
182-7,False
182-8,False
182-9,False
183-0,False
183-1,False
183-2,False
183-3,False
183-4,False
183-5,False
183-6,False
183-7,False
183-8,False
183-9,False
184-0,False
184-1,False
184-2,False
184-3,False
184-4,False
184-5,False
184-6,False
184-7,False
184-8,False
184-9,False
185-0,False
185-1,False
185-2,False
185-3,False
185-4,False
185-5,False
185-6,False
185-7,False
185-8,False
185-9,False
186-0,False
186-1,False
186-2,False
186-3,False
186-4,False
186-5,False
186-6,False
186-7,False
186-8,False
186-9,False
187-0,False
187-1,False
187-2,False
187-3,False
187-4,False
187-5,False
187-6,False
187-7,False
187-8,False
187-8,True
187-9,False
188-0,False
188-0,True
188-1,False
188-1,True
188-2,False
188-3,False
188-4,False
188-5,False
188-6,False
188-7,False
188-8,False
188-9,False
189-0,False
189-1,False
189-2,False
189-3,False
189-4,False
189-5,False
189-6,False
189-7,False
189-8,False
189-9,False
189-9,True
190-0,False
190-1,False
190-2,False
190-3,False
190-4,False
190-5,False
190-6,False
190-7,False
190-8,False
190-9,False
191-0,False
191-1,False
191-2,False
191-3,False
191-4,False
191-5,False
191-6,False
191-7,False
191-8,False
191-9,False
192-0,False
192-1,False
192-2,False
192-3,False
192-4,False
192-5,False
192-6,False
192-7,False
192-8,False
192-9,False
193-0,False
193-1,False
193-2,False
193-3,False
193-4,False
193-5,False
193-6,False
193-7,False
193-8,False
193-9,False
194-0,False
194-1,False
194-2,False
194-3,False
194-4,False
194-5,False
194-6,False
194-7,False
194-8,False
194-9,False
195-0,False
195-1,False
195-2,False
195-3,False
195-4,False
195-5,False
195-6,False
195-7,False
195-8,False
195-9,False
196-0,False
196-1,False
196-2,False
196-3,False
196-4,False
196-5,False
196-6,False
196-7,False
196-8,False
196-9,False
197-0,False
197-1,False
197-2,False
197-3,False
197-4,False
197-5,False
197-6,False
197-7,False
197-8,False
197-9,False
198-0,False
198-1,False
198-2,False
198-3,False
198-4,False
198-5,False
198-6,False
198-7,False
198-8,False
198-9,False
198-9,True
199-0,False
199-0,True
199-1,False
199-1,True
199-2,False
199-3,False
199-4,False
199-5,False
199-6,False
199-7,False
199-8,False
199-9,False
200-0,False
200-0,True
200-1,False
200-1,True
200-2,False
200-2,True
200-3,False
200-3,True
200-4,False
200-4,True
200-5,False
200-6,False
200-7,False
200-8,False
200-9,False
201-0,False
201-0,True
201-1,False
201-1,True
201-2,True
201-2,False
201-3,False
201-3,True
201-4,False
201-4,True
201-5,False
201-6,False
201-7,False
201-8,False
201-9,False
202-0,False
202-1,False
202-1,True
202-2,True
202-2,False
202-3,False
202-3,True
202-4,False
202-4,True
202-5,False
202-5,True
202-6,False
202-6,True
202-7,False
202-8,False
202-9,False
203-0,False
203-1,False
203-2,False
203-3,False
203-4,False
203-5,False
203-6,False
203-6,True
203-7,False
203-7,True
203-8,False
203-9,False
203-9,True
204-0,False
204-1,False
204-2,False
204-3,False
204-4,False
204-5,False
204-6,False
204-7,False
204-8,False
204-9,False
205-0,False
205-1,False
205-2,False
205-3,False
205-4,False
205-5,False
205-6,False
205-7,False
205-8,False
205-9,False
206-0,False
206-1,False
206-2,False
206-3,False
206-4,False
206-5,False
206-6,False
206-7,False
206-8,False
206-9,False
207-0,False
207-1,False
207-2,False
207-3,False
207-4,False
207-5,False
207-6,False
207-7,False
207-8,False
207-9,False
208-0,False
208-1,False
208-2,False
208-3,False
208-4,False
208-5,False
208-6,False
208-7,False
208-8,False
208-9,False
209-0,False
209-1,False
209-2,False
209-3,False
209-4,False
209-5,False
209-6,False
209-7,False
209-8,False
209-9,False
210-0,False
210-0,True
